Title	RTIA	RTPP	MZ_IA	MZ_PP	IA_113	IA_114	IA_115	IA_116	IA_117	IA_118	IA_119	IA_121	PP_113	PP_114	PP_115	PP_116	PP_117	PP_118	PP_119	PP_121	decoy	PP_114:113	PP_115:113	PP_116:113	PP_117:113	PP_118:113	PP_119:113	PP_121:113	IA_114:113	IA_115:113	IA_116:113	IA_117:113	IA_118:113	IA_119:113	IA_121:113
e_5846500364496548844	1731.92	1731.92	791.4205322	791.4215	4923.09	5089.95	2234.28	2557.74	5123.52	4878.02	2649.44	2801.77	4924.15	5089.9	2233.22	49.67	5117.07	4885.94	2647.7	50.71	0	1.033661	0.453524	0.5194907	1.039178	0.9922403	0.5376968	0.5692394	1.033893347	0.453836919	0.519539557	1.040712236	0.990845181	0.53816607	0.56910802
e_1232807390197449032	1732.81	1732.81	654.4093628	654.4105	5395.79	5173	2443.07	2845.46	5166.9	5260.7	2880.73	2865.63	5396.94	5174.59	2360.2	50.97	5118.03	5270.16	2878.79	52.87	0	0.9588007	0.4373219	0.5152087	0.9483207	0.976509	0.5334116	0.5339544	0.958710402	0.452773366	0.527348173	0.957579891	0.974963814	0.533884751	0.531086273
e_14554513039683258345	1735.67	1735.67	617.8552246	617.8563	22098.9	19637.3	13583.9	14310.8	20567.3	21287.2	10889.3	11284.2	20647.86	19820.53	9839.67	103.29	20244.9	21192.25	10884.21	102.93	0	0.9599314	0.4765467	0.4720519	0.9804842	1.026366	0.527135	0.5500546	0.88860984	0.614686704	0.647579744	0.930693383	0.963269665	0.492753033	0.510622701
e_14554513039683258345	1735.67	1735.67	617.8552246	617.8563	22098.9	19637.3	13583.9	14310.8	20567.3	21287.2	10889.3	11284.2	20647.86	19820.53	9839.67	103.29	20244.9	21192.25	10884.21	102.93	0	0.9599314	0.4765467	0.4720519	0.9804842	1.026366	0.527135	0.5500546	0.88860984	0.614686704	0.647579744	0.930693383	0.963269665	0.492753033	0.510622701
e_17870836601472736982	1736.15	1736.15	408.9293823	408.9307	8088.1	7692.15	3969.35	4381.49	7472.73	8443.7	4304.52	4212.31	8091.86	7493.01	3602.95	62.68	7506.08	8092.9	4309.02	64.71	0	0.9259935	0.4452561	0.4703405	0.9276087	1.000129	0.5325129	0.5194023	0.951045363	0.490764209	0.541720552	0.923916618	1.043965826	0.532204102	0.520803403
e_6784010046898289072	1736.75	1736.75	481.7987976	481.8	9064.8	8182.96	4900.82	6576.14	8645.66	11334.5	4987.56	6182.11	8856.82	8117.26	4369.99	68.58	8663.9	10870.86	4793.37	68.54	1	0.9164982	0.493404	0.5153046	0.9782179	1.2274	0.5412067	0.6726658	0.902718207	0.540642926	0.725458918	0.953761804	1.250386109	0.550211808	0.681990778
e_6784010046898289072	1736.75	1736.75	481.7987976	481.8	9064.8	8182.96	4900.82	6576.14	8645.66	11334.5	4987.56	6182.11	8856.82	8117.26	4369.99	68.58	8663.9	10870.86	4793.37	68.54	0	0.9164982	0.493404	0.5153046	0.9782179	1.2274	0.5412067	0.6726658	0.902718207	0.540642926	0.725458918	0.953761804	1.250386109	0.550211808	0.681990778
e_6784010046898289072	1736.75	1736.75	481.7987976	481.8	9064.8	8182.96	4900.82	6576.14	8645.66	11334.5	4987.56	6182.11	8856.82	8117.26	4369.99	68.58	8663.9	10870.86	4793.37	68.54	0	0.9164982	0.493404	0.5153046	0.9782179	1.2274	0.5412067	0.6726658	0.902718207	0.540642926	0.725458918	0.953761804	1.250386109	0.550211808	0.681990778
e_6784010046898289072	1736.75	1736.75	481.7987976	481.8	9064.8	8182.96	4900.82	6576.14	8645.66	11334.5	4987.56	6182.11	8856.82	8117.26	4369.99	68.58	8663.9	10870.86	4793.37	68.54	0	0.9164982	0.493404	0.5153046	0.9782179	1.2274	0.5412067	0.6726658	0.902718207	0.540642926	0.725458918	0.953761804	1.250386109	0.550211808	0.681990778
e_16959856626009627327	1737.53	1737.53	497.032196	497.0334	3503.92	3051.75	1804.61	2173.72	3422.39	3557.86	1907.83	1803.03	3504.62	3056.62	1560.83	41.17	3446.3	3321.38	1911.77	43.04	0	0.8721687	0.4453635	0.5127517	0.9833591	0.9477147	0.5454999	0.4906694	0.870953104	0.515026028	0.620368045	0.976731775	1.015394187	0.544484463	0.514575104
